Saving: Utilizator{firstName='p', lastName='p'}2024-10-27T01:10:45.379048
Looking for: Utilizator{firstName='Baws', lastName='Georgescu'}2024-10-27T01:12:59.043646600
Looking for: Utilizator{firstName='Lucian', lastName='Ranga'}2024-10-27T01:12:59.074933200
Looking for: Utilizator{firstName='Alex', lastName='Zdroba'}2024-10-27T01:12:59.215756
Looking for: Utilizator{firstName='Iulia', lastName='Constantin'}2024-10-27T01:12:59.262635
Looking for: Utilizator{firstName='Baws', lastName='Georgescu'}2024-10-27T01:12:59.293881100
Looking for: Utilizator{firstName='Bob', lastName='Salut'}2024-10-27T01:12:59.434506500
Looking for: Utilizator{firstName='Alex', lastName='Zdroba'}2024-10-27T01:12:59.481347900
Looking for: Utilizator{firstName='Elena', lastName='Dumitrescu}2024-10-27T01:12:59.512594200
Looking for: Utilizator{firstName='Ioana', lastName='Vasile'}2024-10-27T01:12:59.559497
Looking for: Utilizator{firstName='Diana', lastName='Nicolae'}2024-10-27T01:12:59.590755400
Looking for: Utilizator{firstName='Baws', lastName='Georgescu'}2024-10-27T01:12:59.731380700
Looking for all: 2024-10-27T01:13:03.818796500
Looking for all: 2024-10-27T01:13:03.865723800
Looking for all: 2024-10-27T01:20:22.858636800
Looking for all: 2024-10-27T01:20:22.889887
Looking for all: 2024-10-27T01:21:42.391093900
Looking for all: 2024-10-27T01:21:42.547340900
Saving: Utilizator{firstName='Vicenzio', lastName='Martins'}2024-10-28T21:56:01.460013
